Название,Местоположение,Улица,Юридическое лицо,Адрес сайта,ИНН,На карте
Парк «Сад Победы»,Челябинск,"ул. Героев Танкограда, 79",Муниципальное автономное учреждение «Cад Победы»,http://садпобеды.рф,,[object Object]
Сельский парк «Околица»,Томский район,"с. Зоркальцево, ул. Садовая, 1а",ОГАУК «ЦДСО «Томь»,http://travel-tomsk.ru/index.php?page=okolica,,[object Object]
Зооуголок Детского парка,Городской округ Симферополь,"пр-т Кирова, 51",МБУК «Детский парк»,,,[object Object]
Кинешемский Парк культуры и отдыха имени 35-летия Победы,Кинешма,"ул. Завокзальная, 7",Муниципальное учреждение «Кинешемский Парк культуры и отдыха имени 35-летия Победы»,http://park37.ru,,[object Object]
Детский парк,Городской округ Симферополь,"пр-т Кирова, 51",МБУК «Детский парк»,,,[object Object]
Парк Степанова,Иваново,"ул. Смольная, 3",Муниципальное бюджетное учреждение культуры «Парк культуры и отдыха имени В.Я. Степанова»,,,[object Object]
Парк культуры и отдыха КДЦ «Родина»,Приморско-Ахтарский район,"г. Приморско-Ахтарск, ул. 50 лет Октября, 65/1",МАУК «КДЦ «Родина»,,,[object Object]
Парк «Олимпийский»,Пенза,"ул. Гагарина, 6",Парк «Олимпийский»,http://олимп-парк.рф,,[object Object]
Парк культуры и отдыха,Пермь," ул. М. Рыбалко, 106",МАУК «Парк культуры и отдыха»,,,[object Object]
Парк культуры и отдыха  им. И.В. Бабушкина,Санкт-Петербург,"пр-т Обуховской Обороны, 149",ПКиО им. И. В. Бабушкина,,,[object Object]
Парк культуры и отдыха «Красная Пресня»,Москва,"ул. Мантулинская, 5, стр. 2",ГАУК «Парк культуры и отдыха «Красная Пресня»,,,[object Object]
Парк культуры и отдыха «Таганский»,Москва,"ул. Таганская, 40-42",ГАУК «Парк культуры и отдыха «Таганский»,http://www.parktaganskiy.ru,,[object Object]
Парк культуры и отдыха Бабушкинский,Москва,"ул. Менжинского, 6, стр. 3",ГАУК «Парк культуры и отдыха «Бабушкинский»,http://bapark.ru,,[object Object]
Лианозовский парк культуры и отдыха,Москва,"ул. Угличская, 13, стр. 8",ГАУК «Лианозовский парк культуры и отдыха»,http://liapark.ru,,[object Object]
Парк культуры и отдыха «Сокольники»,Москва,"ул. Сокольнический Вал, 1, стр. 1",ГАУК «Парк культуры и отдыха «Сокольники»,http://park.sokolniki.com,,[object Object]
Парк культуры и отдыха «Кузьминки»,Москва,"ул. Кузьминский парк, 1, стр. 2",ГАУК г. Москвы «Парк культуры и отдыха «Кузьминки»,http://www.park-kuzminki.ru,,[object Object]
Парк культуры и отдыха Фили,Москва,"ул. Большая Филевская, 24",ГАУК «Парк культуры и отдыха «Фили»,http://parkfili.com,,[object Object]
Центральный парк культуры и отдыха имени М. Горького,Москва,"ул. Крымский Вал, 9, стр. 1",ГАУК города Москвы «Центральный парк культуры и отдыха имени М. Горького»,,,[object Object]
Парк культуры и отдыха 850-летия Москвы,Москва,"ул. Марьинский Парк, 10, стр. 4",ГАУК «Парк культуры и отдыха 850-летия Москвы»,http://parkivmaryino.ru/category/850_years,,[object Object]
Парковый комплекс истории техники им. К.Г. Сахарова ,Тольятти,"Южное ш., 137 ",МАУК г.о. Тольятти Парковый комплекс истории техники им. К.Г. Сахарова,http://pkitis.tltsu.ru,,[object Object]
Городской парк культуры и отдыха г. Шарья,Костромская область,"г. Шарья, ул. Ленина, 131",МАУ «Городской парк культуры и отдыха»,,,[object Object]
Туапсинский городской парк культуры и отдыха,Туапсинский район,"г. Туапсе, ул. Пл. Ильича, 2",Муниципальное бюджетное учреждение культуры Туапсинского городского поселения «Туапсинский городской парк культуры и отдыха»,,,[object Object]
Парк культуры и отдыха,Урай,ул. Ленина,МАУ «Культура»,,,[object Object]
Городской парк культуры и отдыха,Сургут,"ул. Студенческая, 6",МАУ «Городской парк культуры и отдыха»,,,[object Object]
Парк имени Максима Горького,Таганрог,"ул. Петровская, 104",МАУ «ЦКДД»,http://park-taganrog.ru,,[object Object]
Парк культуры и отдыха,Первоуральск,"ул. Физкультурников, 2, оф. 1",МУУ «Парк культуры и отдыха»,,,[object Object]
Нижнетагильский городской парк культуры и отдыха им. А. П. Бондина,Нижний Тагил,"ул. Уральская, 20",МБУК «Нижнетагильский городской парк культуры и отдыха им. А.П. Бондина» ,,,[object Object]
Парк культуры и отдыха,Лесной,"ул. Победы, 19",МБУ «Парк культуры и отдыха»,,,[object Object]
Кенозерский национальный парк ,Плесецкий район,д. Вершинино,Министерство культуры Архангельской области,http://kenozero.ru,,[object Object]
Парк «Дубки»,Новокуйбышевск,"ул. Суворова, 51",Муниципальное бюджетное учреждение культуры «Городские парки»,http://gorparki-nsk.wix.com,,[object Object]
Парк культуры и отдыха им. М. Горького,Глазов,"ул. Парковая, 15",МБУК Культурный центр «Россия»,http://www.okc-russia.ru,,[object Object]
Ботанический сад Петра Великого,Санкт-Петербург,"ул. Профессора Попова, 2",ФГБУН «Ботанический институт имени В.Л. Комарова РАН (БИН РАН). Ботанический сад Петра Великого»,http://www.botsad-spb.com,,[object Object]
Усадьба «Воронцово»,Москва,"Воронцовский парк, 3",Усадьба Воронцово,http://usadba-vorontsovo.ru,,[object Object]
Лотошинский парк культуры и отдыха,Лотошинский район,"п. Лотошино, ул. Заводская",«Лотошинский парк культуры и отдыха»,,,[object Object]
Щелковский городской парк культуры и отдыха,Щёлковский район,"г. Щелково, ул. Пушкина, 22",«Щелковский городской парк культуры и отдыха»,http://schelkovopark.ru,,[object Object]
Раменский городской парк культуры и отдыха,Раменский район,"г. Раменское, ул. Первомайская, 2",«Раменский городской парк культуры и отдыха»,,,[object Object]
Городской парк культуры и отдыха г. Павловский Посад,Павлово-Посадский район,"г. Павловский Посад, ул. Кирова, 85",«Городской парк культуры и отдыха г.Павловский Посад»,,,[object Object]
Клинский парк культуры и отдыха,Клинский район,"г. Клин, Тверской пер., 1/11",«Клинский парк культуры и отдыха»,,,[object Object]
Люберецкий городской парк культуры и отдыха,Люберецкий район,"г. Люберцы, Октябрьский пр-т, 226",Люберецкий городской парк культуры и отдыха,http://www.lubpark.ru,,[object Object]
Дмитровский парк культуры и отдыха «Березовая роща»,Дмитровский район,"г. Дмитров, ул. Московская",Дмитровский парк культуры и отдыха «Березовая роща»,http://park-dmitrov.ru,,[object Object]
Парк культуры и отдыха г.п. Малаховка,Люберецкий район,"г.п. Малаховка, Театральный пр-д, 1",«Парк культуры и отдыха п.Малаховка»,http://malpark.ru,,[object Object]
Парк культуры и отдыха г. Долгопрудного,Городской округ город Долгопрудный,"ул. Циолковского, 34",«Парк культуры и отдыха г.Долгопрудного»,,,[object Object]
Бежецкий парк культуры и отдыха,Бежецкий район,"г. Бежецк, ул. Большая, 29-31",Муниципальное автономное учреждение культуры «Парк культуры и отдыха»,,6906009564,[object Object]
Парк аттракционов,Когалым,ул. Дружбы Народо,МАУ «КДК «АРТ-Праздник»,http://metro-kogalym.ru,8608040890,[object Object]
Парк аттракционов «Потешный двор»,Архангельск,"ул. Воскресенская, 3",МАУК «Парк аттракционов «Потешный двор»,http://www.arhpark.ru,2901057253,[object Object]
Реутовский центральный городской парк,Городской округ город Реутов,"Юбилейный пр-т, 23б","МУ ""Молодежный культурно-досуговый центр""",,,[object Object]
Парк «Фабричный пруд»,Городской округ город Реутов,"ул. Гагарина, 33/1","МУ ""Молодежный культурно-досуговый центр""",,,[object Object]
Парк имени Белинского,Пенза,"ул. Карла Маркса, 1",МАУ «Центральный парк культуры и отдыха им. В. Г. Белинского»,http://park-belinsky.ru,5836011886,[object Object]
Муниципальное автономное учреждение культуры «Аттракцион»,Ессентуки,ул. Озерная ,Муниципальное автономное учреждение культуры «Аттракцион»,http://essattraction.ucoz.ru,2626802269,[object Object]
Пензенский детский парк,Пенза,"ул. Кронштадтская, 1а",МАУ «Центральный парк культуры и отдыха им. В. Г. Белинского»,http://park-belinsky.ru/ru,5836011886,[object Object]
Детский городок «Волшебник»,Щёлковский район,"г. Щелково, ул. Центральная",«Щелковский городской парк культуры и отдыха»,http://schelkovopark.ru,,[object Object]
Парк культуры и отдыха г. Южноуральска,Южноуральский городской округ,"ул. Парковая, 2",МУ «Парк культуры и отдыха»,,,[object Object]
Озерский парк культуры и отдыха,Озерский городской округ,"ул. Парковая, 1/2",МБУ ПКиО,https://www.park-ozersk.ru,,[object Object]
Парк культуры и отдыха г. Отрадного,Отрадный,"ул. Гагарина, 54",Муниципальное автономное учреждение «Парк культуры и отдыха»,http://otradnypark.ru,,[object Object]
Парк имени 300-летия города Таганрога,Таганрог,"ул. Сергея Шило, 210",МБУК «Парк имени 300-летия города Таганрога»,,,[object Object]
Парк культуры и отдыха г. Жуковского,Городской округ город Жуковский,"ул. Пушкина, 3",«Парк культуры и отдыха г.Жуковский»,,,[object Object]
Городской парк культуры и отдыха г. Коломны (парк Мира),Городской округ город Коломна,ул. Гагарина,«Городской парк культуры и отдыха г.Коломна»,http://парк-коломна.рф,,[object Object]
Домодедовский городской парк культуры и отдыха «Елочки»,Городской округ город Домодедово,"мкр. Центральный, ш. Каширское, 107",Домодедовский городской парк культуры и отдыха «Елочки»,,,[object Object]
Парк культуры и отдыха г. Ивантеевки,Городской округ город Ивантеевка,пр-д Студенческий,«Парк культуры и отдыха г.Ивантеевка»,http://park-ivanteevka.ru,,[object Object]
Парк «Солнечный»,Таловский район,"р.п. Таловая, ул. Советская",МКУ «Управление по культуре Таловского муниципального района»,,,[object Object]
Центральный парк г. Наро-Фоминск,Наро-Фоминский район,"ул. Парк Воровского, 14",МБУК «Дирекция управления парками Наро-Фоминского МР»,,5030086879,[object Object]
Парк культуры и отдыха г. Бородино,Бородино,"ул. Октябрьская, 56а",МБУК ГДК «Угольщик»,,2445900673,[object Object]
Парк им. Величко,Городской округ город Химки,"Химки, мкр. Сходня, ул. Чапаева 21",МАУК «Объединенная дирекция парков»,http://parki-himki.ru,5047143652,[object Object]
Парк им. 50-лет Октября,Самара,"Ташкентский пер, д 39",МАУ г.о. Самара «Парки Самары»,http://parki-samara.ru/парк-имени-50-лет-октября-(металлургов).html,6315856580,[object Object]
Парк «Молодежный»,Самара,ул Ставропольская,МАУ г.о. Самара «Парки Самары»,http://parki-samara.ru/парк-молодежный.html,6315856580,[object Object]
Городской сад г. Лихославль,Лихославльский район,"г Лихославль, ул Советская, д 57",МБУК «РЦКиД»,,6931005147,[object Object]
